rank,building_id,composite_score,completeness_pct,site_id,building_type,selected_as_source
281,Rat_public_Nell,79.51,99.84,Rat,Public services,False
282,Rat_assembly_Dovie,79.5,99.84,Rat,Entertainment/public assembly,False
283,Moose_education_Maria,79.5,99.33,Moose,Education,False
284,Rat_lodging_Ardell,79.5,99.57,Rat,Lodging/residential,False
285,Bear_education_Irene,79.5,99.78,Bear,Education,False
286,Rat_public_Allyson,79.5,99.54,Rat,Public services,False
287,Rat_public_Berry,79.5,99.7,Rat,Public services,False
288,Rat_public_Grover,79.5,99.7,Rat,Public services,False
289,Peacock_education_Ophelia,79.49,99.94,Peacock,Education,False
290,Rat_public_Tommy,79.49,99.56,Rat,Public services,False
291,Rat_public_Lynda,79.49,99.7,Rat,Public services,False
292,Fox_education_Kendrick,79.49,99.98,Fox,Education,False
293,Fox_education_Suzan,79.49,99.34,Fox,Education,False
294,Bear_education_Rebecca,79.49,99.7,Bear,Education,False
295,Rat_public_Margart,79.49,99.7,Rat,Public services,False
296,Peacock_education_Karyn,79.48,99.85,Peacock,Education,False
297,Peacock_education_Pasquale,79.48,99.78,Peacock,Education,False
298,Rat_public_Dalia,79.48,99.53,Rat,Public services,False
299,Eagle_education_Samantha,79.48,99.93,Eagle,Education,False
300,Rat_public_Tamra,79.47,99.57,Rat,Public services,False
301,Rat_public_Jason,79.47,99.7,Rat,Public services,False
302,Rat_public_Kelly,79.47,99.44,Rat,Public services,False
303,Rat_health_Tanya,79.47,99.84,Rat,Healthcare,False
304,Bear_education_Marta,79.47,99.94,Bear,Education,False
305,Fox_education_Janina,79.47,99.76,Fox,Education,False
306,Fox_education_Claude,79.47,99.85,Fox,Education,False
307,Fox_education_Tonya,79.46,99.98,Fox,Education,False
308,Rat_lodging_Christine,79.46,99.7,Rat,Lodging/residential,False
309,Rat_public_Desiree,79.46,99.64,Rat,Public services,False
310,Bear_education_Laurette,79.46,99.69,Bear,Education,False
311,Bear_education_Derek,79.46,99.61,Bear,Education,False
312,Bear_education_Lidia,79.45,99.78,Bear,Education,False
313,Rat_office_Adele,79.45,99.83,Rat,Office,False
314,Rat_public_Stella,79.45,99.7,Rat,Public services,False
315,Rat_public_Josiah,79.45,99.7,Rat,Public services,False
316,Bear_education_Wade,79.44,99.9,Bear,Education,False
317,Fox_education_Marlana,79.44,99.42,Fox,Education,False
318,Rat_public_Wilbur,79.44,99.54,Rat,Public services,False
319,Rat_public_Ramona,79.44,99.69,Rat,Public services,False
320,Rat_public_Mabel,79.43,99.29,Rat,Public services,False
